기준연월,목적지 유형,목적지 검색량
202303,전체,402956
202304,전체,402230
202306,전체,490236
202307,전체,553646
202309,전체,481656
202305,전체,451671
202308,전체,712664
202301,전체,452294
202302,전체,484104
202310,전체,499339
202311,전체,357458
202312,전체,469415
202303,숙박,68560
202303,음식,166501
202303,기타관광,22627
202303,문화관광,27430
202303,쇼핑,23865
202303,자연관광,71624
202303,역사관광,13248
202303,체험관광,642
202303,레저스포츠,8459
202304,숙박,78379
202304,음식,169696
202304,기타관광,23212
202304,쇼핑,24946
202304,자연관광,50977
202304,문화관광,27790
202304,역사관광,16696
202304,체험관광,527
202304,레저스포츠,10007
202306,기타관광,27054
202306,문화관광,32490
202306,쇼핑,31645
202306,숙박,102165
202306,음식,203946
202306,자연관광,66241
202306,역사관광,14373
202306,체험관광,426
202306,레저스포츠,11896
202307,기타관광,20136
202307,문화관광,38877
202307,쇼핑,33477
202307,숙박,120310
202307,음식,240375
202307,자연관광,73350
202307,역사관광,14830
202307,체험관광,343
202307,레저스포츠,11948
202309,숙박,90952
202309,음식,189903
202309,기타관광,30224
202309,문화관광,32133
202309,쇼핑,29064
202309,자연관광,83760
202309,역사관광,13886
202309,체험관광,828
202309,레저스포츠,10906
202305,숙박,89586
202305,음식,191670
202305,기타관광,25351
202305,쇼핑,28921
202305,자연관광,55273
202305,문화관광,35465
202305,역사관광,14473
202305,체험관광,579
202305,레저스포츠,10353
202308,숙박,141822
202308,음식,307194
202308,기타관광,34912
202308,문화관광,50864
202308,쇼핑,42519
202308,자연관광,102868
202308,역사관광,18147
202308,체험관광,485
202308,레저스포츠,13853
202301,숙박,80210
202301,음식,192029
202301,기타관광,24308
202301,문화관광,35891
202301,쇼핑,29029
202301,자연관광,72787
202301,역사관광,11484
202301,체험관광,721
202301,레저스포츠,5835
202302,숙박,89328
202302,음식,206071
202302,기타관광,23468
202302,문화관광,38863
202302,쇼핑,30456
202302,자연관광,74953
202302,역사관광,12288
202302,체험관광,734
202302,레저스포츠,7943
202310,기타관광,31081
202310,문화관광,36258
202310,쇼핑,30773
202310,숙박,87291
202310,음식,192465
202310,자연관광,87832
202310,역사관광,16226
202310,체험관광,2536
202310,레저스포츠,14877
202311,기타관광,22098
202311,문화관광,25738
202311,쇼핑,23175
202311,숙박,69535
202311,음식,144034
202311,자연관광,54912
202311,역사관광,9317
202311,체험관광,863
202311,레저스포츠,7786
202312,기타관광,23844
202312,문화관광,34110
202312,쇼핑,31014
202312,숙박,93855
202312,음식,202766
202312,자연관광,66914
202312,역사관광,9779
202312,체험관광,734
202312,레저스포츠,6399
