기준연월,동반유형명,언급건수
202308,기타가족,25757
202307,기타가족,20755
202306,기타가족,20418
202310,기타가족,19512
202309,기타가족,19511
202312,기타가족,19006
202305,기타가족,18330
202301,기타가족,17026
202304,기타가족,16849
202311,기타가족,16470
202303,기타가족,16469
202302,기타가족,16158
202308,친구,16006
202307,친구,13322
202309,친구,12809
202306,친구,12618
202308,부모님,11928
202312,친구,11823
202310,친구,10789
202308,회사동료,10766
202305,친구,10595
202311,친구,10344
202303,친구,9978
202304,친구,9779
202312,회사동료,9375
202307,부모님,9195
202302,친구,9176
202310,부모님,8779
202309,부모님,8755
202309,회사동료,8666
202301,친구,8550
202306,부모님,8499
202305,부모님,8394
202310,회사동료,8294
202312,부모님,8051
202304,회사동료,7941
202307,회사동료,7909
202301,부모님,7509
202302,부모님,7409
202303,부모님,7233
202311,부모님,7171
202304,부모님,6936
202308,자녀,6595
202306,회사동료,6564
202311,회사동료,6503
202305,회사동료,6446
202308,연인,5477
202306,자녀,5467
202312,자녀,5354
202305,자녀,5166
202307,자녀,5115
202308,싱글,5106
202311,자녀,4982
202310,자녀,4904
202309,자녀,4896
202303,회사동료,4874
202306,연인,4815
202307,연인,4579
202304,자녀,4564
202308,배우자,4489
202301,자녀,4454
202302,자녀,4326
202303,자녀,4302
202302,회사동료,4285
202312,연인,4244
202309,연인,4143
202301,회사동료,4122
202306,싱글,4095
202307,싱글,4071
202305,연인,4055
202306,배우자,4020
202309,싱글,3987
202312,싱글,3980
202310,연인,3960
202303,연인,3849
202307,배우자,3812
202310,싱글,3755
202311,싱글,3549
202301,싱글,3504
202311,연인,3498
202305,싱글,3488
202304,연인,3435
202305,배우자,3425
202303,싱글,3424
202304,배우자,3423
202302,싱글,3414
202310,배우자,3299
202302,연인,3275
202303,배우자,3274
202301,연인,3268
202309,배우자,3245
202304,싱글,3155
202301,배우자,3001
202302,배우자,2967
202311,배우자,2852
202312,배우자,2774
202308,학생,2027
202309,학생,1670
202307,학생,1659
202310,학생,1442
202306,학생,1377
202303,학생,1259
202301,학생,1243
202311,학생,1236
202305,학생,1228
202302,학생,1216
202312,학생,1211
202304,학생,1034
