기준연월,여행유형/트렌드명,언급건수
202308,레포츠,76583
202307,레포츠,68839
202306,레포츠,66655
202310,레포츠,62684
202305,레포츠,53744
202309,레포츠,52763
202308,휴식/힐링,51389
202310,휴식/힐링,50282
202312,레포츠,50256
202311,레포츠,49295
202301,레포츠,48929
202306,휴식/힐링,46385
202307,휴식/힐링,45215
202309,휴식/힐링,42328
202305,휴식/힐링,41746
202302,레포츠,40876
202303,레포츠,37678
202311,휴식/힐링,36915
202304,레포츠,36148
202312,휴식/힐링,33254
202303,휴식/힐링,32166
202304,휴식/힐링,31869
202301,휴식/힐링,30172
202302,휴식/힐링,27211
202308,기타,12043
202305,기타,11663
202306,기타,10802
202310,기타,9912
202307,기타,9630
202309,기타,9578
202311,기타,8894
202312,기타,8230
202304,기타,7829
202303,기타,7404
202301,기타,7080
202302,기타,6728
202306,체험,6118
202310,체험,6102
202308,체험,5908
202305,체험,5168
202307,체험,5099
202308,미식,4609
202309,체험,4395
202307,미식,3984
202306,미식,3919
202304,체험,3685
202305,미식,3442
202303,체험,3396
202311,체험,3264
202301,체험,3177
202301,미식,3164
202309,미식,3029
202302,미식,2841
202303,미식,2770
202312,체험,2734
202310,미식,2699
202304,미식,2699
202311,미식,2614
202302,체험,2555
202312,미식,2512
